adjusted_year,country,ISO_A0,region,cases,population_total,RISc,risc_intensity
1997,Costa Rica,CRI,Central America,14421,3701711,1.602017343,high
2015,Costa Rica,CRI,Central America,25852,4818038,0.437202858,expected
2005,Costa Rica,CRI,Central America,37798,4261240,0.769909832,high
2013,Costa Rica,CRI,Central America,81942,4716147,1.451280666,high
1995,Costa Rica,CRI,Central America,5137,3535176,1.933578856,high
2004,Costa Rica,CRI,Central America,9408,4200078,-0.571030641,low
1999,Costa Rica,CRI,Central America,6041,3862101,-0.156210682,expected
1999,Cayman Islands,CYM,Caribbean,1,38284,1.094908955,high
2012,Cayman Islands,CYM,Caribbean,53,57136,1.222246863,high
1997,Cayman Islands,CYM,Caribbean,0,35543,-0.291520706,expected
2014,Cayman Islands,CYM,Caribbean,124,60160,1.498837118,high
2000,Cayman Islands,CYM,Caribbean,0,39674,-0.096649534,expected
2016,Cayman Islands,CYM,Caribbean,150,63100,1.440720968,high
2009,Cayman Islands,CYM,Caribbean,0,52618,-1.915580285,low
2011,Cayman Islands,CYM,Caribbean,2,55606,-1.20051572,low
1990,Cayman Islands,CYM,Caribbean,0,25999,0.758553828,high
1991,Cayman Islands,CYM,Caribbean,0,27294,0.167622949,expected
2005,Cayman Islands,CYM,Caribbean,1,46788,-0.438168851,expected
1992,Cayman Islands,CYM,Caribbean,0,28621,-0.126090857,expected
1993,Cayman Islands,CYM,Caribbean,0,29976,-1.492326622,low
1996,Cayman Islands,CYM,Caribbean,0,34143,0.550386274,high
2023,Cayman Islands,CYM,Caribbean,42,73038,1.011950393,high
2021,Cayman Islands,CYM,Caribbean,1,70108,-2.40056992,low
1995,Cayman Islands,CYM,Caribbean,1,32743,2.836879546,high
2015,Cayman Islands,CYM,Caribbean,40,61642,0.19567212,expected
1998,Cayman Islands,CYM,Caribbean,2,36922,2.26497154,high
2020,Cayman Islands,CYM,Caribbean,35,68684,0.355763011,expected
2013,Cayman Islands,CYM,Caribbean,69,58655,1.167601844,high
2008,Cayman Islands,CYM,Caribbean,1,51151,-0.889303893,low
2017,Cayman Islands,CYM,Caribbean,31,64535,-0.137418595,expected
1994,Cayman Islands,CYM,Caribbean,0,31352,-2.157480021,low
2010,Cayman Islands,CYM,Caribbean,8,54099,0.181857031,expected
2004,Cayman Islands,CYM,Caribbean,0,45352,-0.988266845,low
2007,Cayman Islands,CYM,Caribbean,9,49687,1.25752249,high
2002,Cayman Islands,CYM,Caribbean,1,42514,0.711546663,high
2022,Cayman Islands,CYM,Caribbean,2,71591,-1.914788219,low
2003,Cayman Islands,CYM,Caribbean,1,43934,0.277439342,expected
2006,Cayman Islands,CYM,Caribbean,0,48232,-1.625028075,low
2018,Cayman Islands,CYM,Caribbean,29,65941,-0.137114394,expected
2001,Cayman Islands,CYM,Caribbean,0,41089,-0.031803706,expected
2019,Cayman Islands,CYM,Caribbean,133,67327,1.520259716,high
2010,Dominica,DMA,Caribbean,633,68859,2.799554371,high
1993,Dominica,DMA,Caribbean,1,69433,-1.047271179,low
2013,Dominica,DMA,Caribbean,197,69715,1.08765788,high
2001,Dominica,DMA,Caribbean,5,68288,0.465589595,expected
2019,Dominica,DMA,Caribbean,1066,67880,2.415824869,high
2003,Dominica,DMA,Caribbean,0,68531,-1.772004682,low
2009,Dominica,DMA,Caribbean,2,68864,-2.355343162,low
1998,Dominica,DMA,Caribbean,1,69124,-0.317799014,expected
2000,Dominica,DMA,Caribbean,15,68511,1.665646239,high
2012,Dominica,DMA,Caribbean,3,69118,-2.616750057,low
1992,Dominica,DMA,Caribbean,0,69325,-1.317704481,low
2005,Dominica,DMA,Caribbean,7,68734,-0.356591079,expected
2021,Dominica,DMA,Caribbean,65,67202,-0.3518292,expected
2015,Dominica,DMA,Caribbean,38,70410,-0.796096917,low
1995,Dominica,DMA,Caribbean,282,69469,4.881728679,high
2018,Dominica,DMA,Caribbean,45,68174,-0.746481865,low
1990,Dominica,DMA,Caribbean,6,69627,0.811225195,high
1996,Dominica,DMA,Caribbean,3,69410,0.404397806,expected
2020,Dominica,DMA,Caribbean,88,67573,-0.058037435,expected
1999,Dominica,DMA,Caribbean,1,68870,-0.541256515,low
2017,Dominica,DMA,Caribbean,33,68496,-1.028814629,low
1994,Dominica,DMA,Caribbean,0,69477,-2.497911639,low
2006,Dominica,DMA,Caribbean,19,68806,0.313780657,expected
2004,Dominica,DMA,Caribbean,4,68649,-0.52185639,low
2011,Dominica,DMA,Caribbean,40,69053,-0.140839242,expected
2007,Dominica,DMA,Caribbean,110,68847,1.779048645,high
2008,Dominica,DMA,Caribbean,80,68854,1.184792206,high
2014,Dominica,DMA,Caribbean,189,70373,0.902869791,high
1997,Dominica,DMA,Caribbean,0,69299,-1.30178573,low
2002,Dominica,DMA,Caribbean,0,68367,-1.519734825,low
2016,Dominica,DMA,Caribbean,351,69606,1.356070524,high
2023,Dominica,DMA,Caribbean,419,66510,1.497366001,high
1991,Dominica,DMA,Caribbean,12,69296,1.527687933,high
2022,Dominica,DMA,Caribbean,3,66826,-3.087512041,low
1998,Dominican Republic,DOM,Caribbean,2873,8310362,1.744367636,high
1993,Dominican Republic,DOM,Caribbean,0,7594572,-3.487202042,low
2022,Dominican Republic,DOM,Caribbean,10784,11230734,0.076938492,expected
2004,Dominican Republic,DOM,Caribbean,2340,9104892,-0.64255202,low
2000,Dominican Republic,DOM,Caribbean,3404,8584190,0.97338093,high
1999,Dominican Republic,DOM,Caribbean,1059,8446208,0.252005266,expected
2014,Dominican Republic,DOM,Caribbean,6274,10315528,-0.135348687,expected
2010,Dominican Republic,DOM,Caribbean,11060,9820175,0.37095452,expected
2005,Dominican Republic,DOM,Caribbean,2776,9225034,-0.665844984,low
2001,Dominican Republic,DOM,Caribbean,3588,8720283,0.635061808,high
2020,Dominican Republic,DOM,Caribbean,3964,11008300,-0.668171646,low
2023,Dominican Republic,DOM,Caribbean,28737,11331265,0.904794701,high
2009,Dominican Republic,DOM,Caribbean,7297,9695265,-0.040202755,expected
2019,Dominican Republic,DOM,Caribbean,20323,10894043,1.042512166,high
2018,Dominican Republic,DOM,Caribbean,1602,10782053,-1.447335889,low
2013,Dominican Republic,DOM,Caribbean,16503,10193833,0.803826192,high
1990,Dominican Republic,DOM,Caribbean,39,7151166,1.425677575,high
2016,Dominican Republic,DOM,Caribbean,6645,10551430,-0.018275159,expected
2007,Dominican Republic,DOM,Caribbean,9403,9455658,0.300335439,expected
1996,Dominican Republic,DOM,Caribbean,72,8032894,-0.826595498,low
2021,Dominican Republic,DOM,Caribbean,3746,11123476,-0.83729003,low
1997,Dominican Republic,DOM,Caribbean,512,8174078,0.558370595,high
2003,Dominican Republic,DOM,Caribbean,5911,8980620,0.518034826,high
1992,Dominican Republic,DOM,Caribbean,107,7447474,1.59617379,high
1994,Dominican Republic,DOM,Caribbean,0,7741694,-4.039282124,low
1991,Dominican Republic,DOM,Caribbean,24,7299853,0.527060749,high
2011,Dominican Republic,DOM,Caribbean,2232,9945621,-1.222488127,low
2006,Dominican Republic,DOM,Caribbean,5913,9341183,-0.060165058,expected
2015,Dominican Republic,DOM,Caribbean,17048,10434829,0.895488067,high
2002,Dominican Republic,DOM,Caribbean,3118,8852235,0.15970556,expected
2008,Dominican Republic,DOM,Caribbean,4150,9573130,-0.577458213,low
1995,Dominican Republic,DOM,Caribbean,211,7888115,0.800432559,high
2012,Dominican Republic,DOM,Caribbean,9549,10070411,0.239230505,expected
2017,Dominican Republic,DOM,Caribbean,1367,10666843,-1.587182262,low
2005,Ecuador,ECU,South America,5871,13846163,-0.252513362,expected
1995,Ecuador,ECU,South America,5189,11590514,0.290704989,expected
2003,Ecuador,ECU,South America,6101,13372306,-0.206937653,expected
2019,Ecuador,ECU,South America,23793,17340021,0.319592508,expected
2017,Ecuador,ECU,South America,4014,16759519,-1.386237953,low
2016,Ecuador,ECU,South America,13096,16505139,-0.180895341,expected
2022,Ecuador,ECU,South America,15596,17823897,-0.288520214,expected
2007,Ecuador,ECU,South America,1879,14328773,-1.466740827,low
2010,Ecuador,ECU,South America,7567,15076695,-0.321373218,expected
2014,Ecuador,ECU,South America,35762,16035124,0.894357025,high
1994,Ecuador,ECU,South America,6607,11372197,0.824731316,high
1997,Ecuador,ECU,South America,4606,12031127,-0.23182259,expected
1990,Ecuador,ECU,South America,94,10473673,-1.818408165,low
2006,Ecuador,ECU,South America,10253,14086131,0.276665313,expected
2009,Ecuador,ECU,South America,17516,14825954,0.612578867,high
2008,Ecuador,ECU,South America,4400,14575202,-0.683982289,low
1998,Ecuador,ECU,South America,2901,12251184,-0.818445131,low
2013,Ecuador,ECU,South America,15531,15807128,0.123353761,expected
2002,Ecuador,ECU,South America,9903,13138472,0.26866099,expected
2001,Ecuador,ECU,South America,5675,12910740,-0.288196315,expected
1996,Ecuador,ECU,South America,3871,11810950,-0.23065947,expected
2012,Ecuador,ECU,South America,11662,15572194,-0.080265138,expected
2021,Ecuador,ECU,South America,18249,17682454,-0.051934784,expected
1992,Ecuador,ECU,South America,9015,10930128,1.875147208,high
1991,Ecuador,ECU,South America,137,10702380,-1.8825755,low
2018,Ecuador,ECU,South America,5819,17049547,-1.046167473,low
2015,Ecuador,ECU,South America,17147,16266225,0.117626588,expected
1999,Ecuador,ECU,South America,22934,12470795,1.168219304,high
2004,Ecuador,ECU,South America,11797,13608701,0.455588317,expected
2000,Ecuador,ECU,South America,10864,12689206,0.377039168,expected
1993,Ecuador,ECU,South America,8145,11154274,1.381305918,high
2020,Ecuador,ECU,South America,14499,17546065,-0.221924921,expected
2011,Ecuador,ECU,South America,19367,15326227,0.52039211,high
2023,Ecuador,ECU,South America,59105,17980083,0.955050077,high
2019,Fiji,FJI,Oceania,2364,914899,0.005806004,expected
1997,Fiji,FJI,Oceania,24780,812139,7.085619711,high
2003,Fiji,FJI,Oceania,2,866286,-1.897724019,low
2020,Fiji,FJI,Oceania,56,914963,-3.88415368,low
2012,Fiji,FJI,Oceania,355,914918,-0.374878649,expected
1991,Fiji,FJI,Oceania,358,779656,2.353288227,high
2023,Fiji,FJI,Oceania,5255,924145,-0.002260139,expected
2004,Fiji,FJI,Oceania,0,874366,-3.13114696,low
1992,Fiji,FJI,Oceania,39,785346,0.28471969,expected
2006,Fiji,FJI,Oceania,100,890365,0.803402276,high
2017,Fiji,FJI,Oceania,5629,918759,1.186530317,high
2013,Fiji,FJI,Oceania,5244,916352,1.987179088,high
1998,Fiji,FJI,Oceania,430,822258,3.097965446,high
2002,Fiji,FJI,Oceania,16,858049,-0.006647442,expected
1990,Fiji,FJI,Oceania,65,773316,0.493878165,expected
2022,Fiji,FJI,Oceania,9912,919422,0.859966416,high
2000,Fiji,FJI,Oceania,3,840909,-1.406588378,low
1996,Fiji,FJI,Oceania,0,803789,-3.03995918,low
2008,Fiji,FJI,Oceania,374,903399,1.305349581,high
2010,Fiji,FJI,Oceania,88,910419,-0.990762775,low
1995,Fiji,FJI,Oceania,2,798746,-2.012068818,low
2009,Fiji,FJI,Oceania,8,907239,-2.817106034,low
2015,Fiji,FJI,Oceania,800,918578,-0.399925753,expected
2005,Fiji,FJI,Oceania,25,882379,-0.215843691,expected
2014,Fiji,FJI,Oceania,1244,917585,0.271971832,expected
2018,Fiji,FJI,Oceania,3152,917180,0.450153755,expected
1994,Fiji,FJI,Oceania,27,794771,0.136236994,expected
2016,Fiji,FJI,Oceania,2013,919166,0.327159338,expected
2001,Fiji,FJI,Oceania,0,849596,-2.602300308,low
2007,Fiji,FJI,Oceania,1895,897832,3.343162928,high
2021,Fiji,FJI,Oceania,5924,916711,0.561877357,high
1993,Fiji,FJI,Oceania,0,790369,-3.0549383,low
2011,Fiji,FJI,Oceania,1777,912989,1.606037287,high
1999,Fiji,FJI,Oceania,14,831828,-0.251199029,expected
2004,Grenada,GRD,Caribbean,7,109323,-0.648355923,low
2005,Grenada,GRD,Caribbean,0,109734,-2.74997665,low
2009,Grenada,GRD,Caribbean,23,111254,-0.211569116,expected
2013,Grenada,GRD,Caribbean,228,113487,1.108662818,high
2020,Grenada,GRD,Caribbean,253,116341,-0.067897876,expected
2023,Grenada,GRD,Caribbean,642,117081,0.270760116,expected
2012,Grenada,GRD,Caribbean,94,112775,0.451075074,expected
2011,Grenada,GRD,Caribbean,125,112079,0.989542751,high
1999,Grenada,GRD,Caribbean,85,106727,2.038736669,high
2021,Grenada,GRD,Caribbean,230,116688,-0.349830769,expected
2003,Grenada,GRD,Caribbean,17,108884,0.235205668,expected
2022,Grenada,GRD,Caribbean,293,116913,-0.30912878,expected
2006,Grenada,GRD,Caribbean,22,110135,0.285796142,expected
2010,Grenada,GRD,Caribbean,253,111586,1.944751201,high
1992,Grenada,GRD,Caribbean,1,101602,-0.496969829,expected
2007,Grenada,GRD,Caribbean,0,110522,-2.842773463,low
1995,Grenada,GRD,Caribbean,73,103869,2.721954153,high
1996,Grenada,GRD,Caribbean,6,104584,0.019434753,expected
2017,Grenada,GRD,Caribbean,244,115438,0.39648579,expected
2002,Grenada,GRD,Caribbean,81,108404,1.813848927,high
1990,Grenada,GRD,Caribbean,3,99957,0.954518024,high
1997,Grenada,GRD,Caribbean,22,105293,0.999031151,high
2000,Grenada,GRD,Caribbean,27,107451,0.799112707,high
2008,Grenada,GRD,Caribbean,6,110896,-1.236316226,low
1994,Grenada,GRD,Caribbean,0,103138,-2.645629539,low
1998,Grenada,GRD,Caribbean,4,106009,-0.682737522,low
2019,Grenada,GRD,Caribbean,106,115981,-0.764316267,low
2018,Grenada,GRD,Caribbean,463,115691,0.866921624,high
2014,Grenada,GRD,Caribbean,79,114132,-0.156289405,expected
2001,Grenada,GRD,Caribbean,12,107987,-0.03176383,expected
1993,Grenada,GRD,Caribbean,1,102382,-1.157832776,low
2015,Grenada,GRD,Caribbean,25,114676,-1.484442998,low
2016,Grenada,GRD,Caribbean,172,115130,0.229620147,expected
1991,Grenada,GRD,Caribbean,1,100793,-0.210499367,expected
1997,Guatemala,GTM,Central America,5379,10857754,0.272596542,expected
1991,Guatemala,GTM,Central America,10968,9272584,1.067087426,high
2002,Guatemala,GTM,Central America,7552,12246915,0.338489419,expected
2020,Guatemala,GTM,Central America,6075,17357325,-0.628275691,low
2022,Guatemala,GTM,Central America,8553,17847877,-0.472005949,expected
2005,Guatemala,GTM,Central America,6309,13087629,0.11434636,expected
1995,Guatemala,GTM,Central America,3979,10312996,0.103493289,expected
2003,Guatemala,GTM,Central America,6728,12525842,0.208652036,expected
2011,Guatemala,GTM,Central America,2553,14792126,-1.129779396,low
2013,Guatemala,GTM,Central America,11703,15387337,0.261386088,expected
1994,Guatemala,GTM,Central America,2872,10043718,-0.181808245,expected
2000,Guatemala,GTM,Central America,8964,11697592,0.581361275,high
2009,Guatemala,GTM,Central America,10200,14215611,0.393945494,expected
2014,Guatemala,GTM,Central America,19863,15681725,0.7425242,high
1999,Guatemala,GTM,Central America,3615,11422965,-0.267868122,expected
2021,Guatemala,GTM,Central America,2959,17598650,-1.423557154,low
1996,Guatemala,GTM,Central America,3660,10583526,-0.039546862,expected
1993,Guatemala,GTM,Central America,1907,9779761,-0.587560608,low
1992,Guatemala,GTM,Central America,1286,9522266,-1.015229376,low
2015,Guatemala,GTM,Central America,18685,15971743,0.650214885,high
2012,Guatemala,GTM,Central America,9331,15089647,0.096976973,expected
2006,Guatemala,GTM,Central America,2422,13367459,-0.874569248,low
2023,Guatemala,GTM,Central America,73975,18124838,1.558218058,high
2008,Guatemala,GTM,Central America,3227,13935174,-0.691977444,low
1990,Guatemala,GTM,Central America,5757,9024773,0.353261682,expected
2019,Guatemala,GTM,Central America,50886,17103803,1.546072367,high
2007,Guatemala,GTM,Central America,5865,13652040,-0.036801585,expected
2017,Guatemala,GTM,Central America,4308,16567357,-0.857046875,low
2018,Guatemala,GTM,Central America,7592,16845685,-0.317957116,expected
2016,Guatemala,GTM,Central America,9070,16268760,-0.0937419,expected
2001,Guatemala,GTM,Central America,4512,11969422,-0.148630312,expected
2010,Guatemala,GTM,Central America,16842,14500112,0.825855957,high
1998,Guatemala,GTM,Central America,4653,11139145,0.052721123,expected
2004,Guatemala,GTM,Central America,6313,12807402,0.133736385,expected
2009,Guyana,GUY,South America,993,752094,0.854655531,high
2000,Guyana,GUY,South America,19,764832,0.761325545,high
2023,Guyana,GUY,South America,28376,826353,1.766993922,high
2004,Guyana,GUY,South America,47,762418,-0.51743089,low
2003,Guyana,GUY,South America,33,763101,-0.402514035,expected
1994,Guyana,GUY,South America,0,755822,-0.853540585,low
2018,Guyana,GUY,South America,286,791556,-1.107068104,low
1992,Guyana,GUY,South America,0,749911,0.007882456,expected
2005,Guyana,GUY,South America,178,760914,0.387744126,expected
1991,Guyana,GUY,South America,0,747861,-0.485317073,expected
1996,Guyana,GUY,South America,0,760526,-0.489247707,expected
2001,Guyana,GUY,South America,60,764477,1.274802038,high
2012,Guyana,GUY,South America,2189,746288,1.253519497,high
2022,Guyana,GUY,South America,11811,821637,1.3033152,high
1995,Guyana,GUY,South America,0,758388,-0.069027039,expected
2021,Guyana,GUY,South America,4380,815482,0.71264601,high
2008,Guyana,GUY,South America,324,754606,-0.025160143,expected
2011,Guyana,GUY,South America,1093,746153,0.639374209,high
2010,Guyana,GUY,South America,1467,749256,1.060663338,high
2016,Guyana,GUY,South America,303,763548,-0.802319677,low
1997,Guyana,GUY,South America,0,762245,-0.768110132,low
2006,Guyana,GUY,South America,118,758966,-0.402283831,expected
2020,Guyana,GUY,South America,1724,807481,0.144727282,expected
2013,Guyana,GUY,South America,1120,750021,0.54138265,high
2002,Guyana,GUY,South America,200,763652,1.899759317,high
1990,Guyana,GUY,South America,0,749894,0.181389442,expected
2019,Guyana,GUY,South America,230,807665,-1.568500229,low
1998,Guyana,GUY,South America,42,763586,3.031765956,high
1993,Guyana,GUY,South America,0,752965,0.191965294,expected
2007,Guyana,GUY,South America,200,756861,-0.217003894,expected
2015,Guyana,GUY,South America,388,758781,-0.532602164,low
2017,Guyana,GUY,South America,4,768479,-4.813246373,low
2014,Guyana,GUY,South America,863,754229,0.26918605,expected
1999,Guyana,GUY,South America,0,764483,-1.395256361,low
2020,Honduras,HND,Central America,25180,10119640,0.039804876,expected
1997,Honduras,HND,Central America,11861,6071454,0.239712965,expected
2000,Honduras,HND,Central America,13328,6577773,-0.071594045,expected
2013,Honduras,HND,Central America,39201,8889278,0.56238162,high
2002,Honduras,HND,Central America,31406,6938859,0.648072132,high
2018,Honduras,HND,Central America,8187,9765210,-1.021740143,low
1990,Honduras,HND,Central America,1700,4980488,-0.294849818,expected
2016,Honduras,HND,Central America,22961,9412380,0.020310493,expected
2007,Honduras,HND,Central America,29328,7834798,0.449995791,expected
1991,Honduras,HND,Central America,5303,5123792,0.667063243,high
2009,Honduras,HND,Central America,14528,8189899,-0.316085998,expected
1998,Honduras,HND,Central America,22200,6234431,0.691237089,high
2012,Honduras,HND,Central America,15554,8715076,-0.337851209,expected
2011,Honduras,HND,Central America,7412,8540583,-1.05057873,low
2023,Honduras,HND,Central America,34761,10644851,0.177512112,expected
2006,Honduras,HND,Central America,7800,7656832,-0.84285959,low
2019,Honduras,HND,Central America,132905,9943633,1.736735051,high
2022,Honduras,HND,Central America,25337,10463872,-0.066873331,expected
2014,Honduras,HND,Central America,42753,9063122,0.636670378,high
2001,Honduras,HND,Central America,8646,6757993,-0.586461279,low
2021,Honduras,HND,Central America,19753,10289877,-0.25044561,expected
2005,Honduras,HND,Central America,17048,7478355,-0.034937826,expected
1993,Honduras,HND,Central America,2847,5423249,-0.329170501,expected
2015,Honduras,HND,Central America,44834,9237305,0.684092094,high
1996,Honduras,HND,Central America,5047,5903954,-0.412654976,expected
1995,Honduras,HND,Central America,27560,5739637,1.500628147,high
2017,Honduras,HND,Central America,5258,9588137,-1.450988785,low
1992,Honduras,HND,Central America,2114,5271431,-0.432242935,expected
2008,Honduras,HND,Central America,16460,8012587,-0.160062863,expected
2004,Honduras,HND,Central America,17626,7298994,0.019098198,expected
1994,Honduras,HND,Central America,3055,5579242,-0.471758657,expected
1999,Honduras,HND,Central America,17766,6400463,0.32715509,expected
2003,Honduras,HND,Central America,16101,7119213,-0.051213095,expected
2010,Honduras,HND,Central America,63546,8365878,1.127031033,high
2004,Indonesia,IDN,Asia,95279,227926649,0.162808706,expected
2008,Indonesia,IDN,Asia,98644,240157903,-0.140760433,expected
2015,Indonesia,IDN,Asia,185198,261799249,0.328721601,expected
2018,Indonesia,IDN,Asia,105285,269951846,-0.136554075,expected
1994,Indonesia,IDN,Asia,35102,196591828,0.170244442,expected
1993,Indonesia,IDN,Asia,18783,193305168,-0.311858796,expected
2007,Indonesia,IDN,Asia,199441,237062337,0.6374444,high
2014,Indonesia,IDN,Asia,138262,258877399,0.014018253,expected
1996,Indonesia,IDN,Asia,30730,203204348,-0.239068693,expected
2010,Indonesia,IDN,Asia,85668,246305322,-0.392276099,expected
1998,Indonesia,IDN,Asia,21134,209826788,-0.836711008,low
2000,Indonesia,IDN,Asia,45904,216077790,-0.240700369,expected
2001,Indonesia,IDN,Asia,40377,219097902,-0.452166228,expected
2019,Indonesia,IDN,Asia,119846,272489381,0.004122548,expected
2013,Indonesia,IDN,Asia,91108,255852467,-0.407688698,expected
2017,Indonesia,IDN,Asia,65600,267346658,-0.636666533,low
2006,Indonesia,IDN,Asia,114281,233951652,0.165857753,expected
1990,Indonesia,IDN,Asia,21120,183501098,0.177495061,expected
1999,Indonesia,IDN,Asia,33443,213004668,-0.47016677,expected
2022,Indonesia,IDN,Asia,124250,278830529,-0.043575564,expected
2012,Indonesia,IDN,Asia,110821,252698525,-0.199565521,expected
2016,Indonesia,IDN,Asia,125288,264627418,-0.027680654,expected
1992,Indonesia,IDN,Asia,17418,190043744,-0.253824852,expected
1991,Indonesia,IDN,Asia,17620,186778238,-0.119660464,expected
2011,Indonesia,IDN,Asia,84716,249470032,-0.441617389,expected
2023,Indonesia,IDN,Asia,226235,281190067,0.495793291,expected
2005,Indonesia,IDN,Asia,114656,230871650,0.259189549,expected
2003,Indonesia,IDN,Asia,79462,225048008,0.063957997,expected
2002,Indonesia,IDN,Asia,51934,222088495,-0.281689082,expected
1997,Indonesia,IDN,Asia,72133,206536095,0.494640625,expected
2021,Indonesia,IDN,Asia,118748,276758053,-0.038307344,expected
2009,Indonesia,IDN,Asia,166389,243220028,0.320860272,expected
2020,Indonesia,IDN,Asia,54386,274814866,-0.790801314,low
1995,Indonesia,IDN,Asia,44650,199888057,0.265430069,expected
2007,India,IND,Asia,5530,1190676021,-0.628331541,low
2000,India,IND,Asia,650,1057922733,-1.608548889,low
2017,India,IND,Asia,188401,1359657400,0.541131631,high
2009,India,IND,Asia,15535,1225524753,-0.140182474,expected
1997,India,IND,Asia,1177,999133762,-1.116409776,low
2010,India,IND,Asia,28292,1243481564,0.179472139,expected
2013,India,IND,Asia,55153,1295829511,0.06245893,expected
2008,India,IND,Asia,12540,1207930964,-0.077833897,expected
2014,India,IND,Asia,28933,1312277191,-0.805648826,low
2006,India,IND,Asia,12317,1172878890,0.424344917,expected
2012,India,IND,Asia,37070,1278674502,-0.088361091,expected
2001,India,IND,Asia,3306,1077898575,-0.043022113,expected
2022,India,IND,Asia,233251,1425423212,-0.006516183,expected
1995,India,IND,Asia,7847,960301044,0.584443144,high
1990,India,IND,Asia,NA,864972221,0.008573556,expected
2021,India,IND,Asia,193245,1414203896,-0.018831176,expected
2016,India,IND,Asia,129166,1343944296,0.316841309,expected
2019,India,IND,Asia,157315,1389030312,0.078835704,expected
2005,India,IND,Asia,11985,1154676322,0.628566961,high
1994,India,IND,Asia,7494,941163767,0.446265034,expected
1992,India,IND,Asia,2683,902957070,-0.774235186,low
1999,India,IND,Asia,944,1038225823,-1.22522437,low
2003,India,IND,Asia,12754,1116803006,1.067248106,high
1998,India,IND,Asia,707,1018665080,-1.551074512,low
2018,India,IND,Asia,101192,1374659064,-0.222245996,expected
2002,India,IND,Asia,1926,1097600380,-0.684922741,low
1993,India,IND,Asia,11125,922118387,0.747097155,high
2023,India,IND,Asia,289235,1438069596,0.026457238,expected
2011,India,IND,Asia,18860,1261224954,-0.500344238,low
1996,India,IND,Asia,16517,979678458,1.428738311,high
1991,India,IND,Asia,6291,883927600,-0.031284734,expected
2004,India,IND,Asia,4153,1135991513,-0.225788949,expected
2015,India,IND,Asia,99913,1328024498,0.235116688,expected
2020,India,IND,Asia,44585,1402617695,-1.325583752,low
2004,Jamaica,JAM,Caribbean,9,2672225,-2.365031373,low
2010,Jamaica,JAM,Caribbean,2887,2748568,1.818129591,high
2005,Jamaica,JAM,Caribbean,46,2687066,-1.089775436,low
2011,Jamaica,JAM,Caribbean,404,2760494,-0.321881245,expected
2019,Jamaica,JAM,Caribbean,7555,2823271,2.126787115,high
2016,Jamaica,JAM,Caribbean,2297,2809915,1.008142259,high
1996,Jamaica,JAM,Caribbean,46,2524463,0.295821152,expected
2020,Jamaica,JAM,Caribbean,898,2830739,-0.014153371,expected
2017,Jamaica,JAM,Caribbean,219,2815764,-1.369342349,low
1998,Jamaica,JAM,Caribbean,1509,2569736,3.486640609,high
2003,Jamaica,JAM,Caribbean,52,2656623,-0.505875536,low
1994,Jamaica,JAM,Caribbean,0,2475220,-3.499462032,low
1999,Jamaica,JAM,Caribbean,24,2589795,-0.73732956,low
2001,Jamaica,JAM,Caribbean,39,2624403,-0.474724403,expected
1992,Jamaica,JAM,Caribbean,296,2424701,2.980854223,high
2007,Jamaica,JAM,Caribbean,1448,2713800,1.811303077,high
2023,Jamaica,JAM,Caribbean,8213,2839786,2.038180842,high
2018,Jamaica,JAM,Caribbean,1155,2820097,0.265799977,expected
2014,Jamaica,JAM,Caribbean,880,2793749,0.136927439,expected
1991,Jamaica,JAM,Caribbean,5,2400869,-0.784302418,low
2000,Jamaica,JAM,Caribbean,25,2607826,-0.795067346,low
2012,Jamaica,JAM,Caribbean,4670,2772430,1.979141764,high
2013,Jamaica,JAM,Caribbean,861,2783687,0.185084787,expected
1995,Jamaica,JAM,Caribbean,1776,2500151,4.12929591,high
1997,Jamaica,JAM,Caribbean,16,2547848,-0.902619809,low
1993,Jamaica,JAM,Caribbean,0,2449916,-3.101126697,low
2008,Jamaica,JAM,Caribbean,357,2725635,0.16000487,expected
2009,Jamaica,JAM,Caribbean,70,2736995,-1.687368132,low
2022,Jamaica,JAM,Caribbean,100,2839144,-2.287007663,low
2021,Jamaica,JAM,Caribbean,96,2837682,-2.270058932,low
2006,Jamaica,JAM,Caribbean,79,2700968,-0.824746315,low
2002,Jamaica,JAM,Caribbean,90,2640572,0.209832995,expected
2015,Jamaica,JAM,Caribbean,88,2802534,-2.202415215,low
1990,Jamaica,JAM,Caribbean,9,2379877,-0.031285635,expected
2008,Cambodia,KHM,Asia,9823,14053479,-0.371296313,expected
2012,Cambodia,KHM,Asia,42352,14945085,0.909570263,high
2011,Cambodia,KHM,Asia,15980,14722584,-0.041134473,expected
1994,Cambodia,KHM,Asia,1498,9239162,-0.971191331,low
2006,Cambodia,KHM,Asia,16669,13639028,0.316989491,expected
1996,Cambodia,KHM,Asia,1433,10801270,-1.253601385,low
2009,Cambodia,KHM,Asia,11699,14276810,-0.259794881,expected
1997,Cambodia,KHM,Asia,4224,11570982,-0.295700855,expected
2003,Cambodia,KHM,Asia,12081,13050968,0.252812533,expected
2013,Cambodia,KHM,Asia,17533,15170208,0.024157694,expected
1995,Cambodia,KHM,Asia,10428,10018497,0.84885461,high
1990,Cambodia,KHM,Asia,7247,7374752,0.796010242,high
1998,Cambodia,KHM,Asia,16248,12058173,0.952771308,high
2016,Cambodia,KHM,Asia,12843,15852803,-0.218802942,expected
1993,Cambodia,KHM,Asia,3913,8616381,0.0763816,expected
1999,Cambodia,KHM,Asia,1530,12265731,-1.483178571,low
